symbol,name
BANKBARODA,Bank of Baroda
PNB,Punjab National Bank
CANBK,Canara Bank
IDFCFIRSTB,IDFC First Bank Ltd
FEDERALBNK,Federal Bank Ltd
ZOMATO,Zomato Ltd
PAYTM,One97 Communications Ltd
NYKAA,FSN E-Commerce Ventures Ltd
POLICYBZR,PB Fintech Ltd
IRCTC,Indian Railway Catering & Tourism Corp Ltd
LICI,Life Insurance Corporation of India
DMART,Avenue Supermarts Ltd
PIIND,PI Industries Ltd
TATAPOWER,Tata Power Company Ltd
TATAMOTORS,Tata Motors Ltd
TMPV,Tata Motors Passenger Vehicles Ltd
TMCV,Tata Motors Ltd (Commercial Vehicles)
M&M,Mahindra & Mahindra Ltd
TVSMOTOR,TVS Motor Company Ltd
ASHOKLEY,Ashok Leyland Ltd
BOSCHLTD,Bosch Ltd
HAVELLS,Havells India Ltd
VOLTAS,Voltas Ltd
BEL,Bharat Electronics Ltd
HAL,Hindustan Aeronautics Ltd
BHEL,Bharat Heavy Electricals Ltd
SAIL,Steel Authority of India Ltd
NMDC,NMDC Ltd
JINDALSTEL,Jindal Steel & Power Ltd
LUPIN,Lupin Ltd
AUROPHARMA,Aurobindo Pharma Ltd
BIOCON,Biocon Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
ALKEM,Alkem Laboratories Ltd
MPHASIS,Mphasis Ltd
LTIM,LTIMindtree Ltd
PERSISTENT,Persistent Systems Ltd
COFORGE,Coforge Ltd
OFSS,Oracle Financial Services Software Ltd
NAUKRI,Info Edge India Ltd
INDIGO,InterGlobe Aviation Ltd
JUBLFOOD,Jubilant FoodWorks Ltd
TRENT,Trent Ltd
PAGEIND,Page Industries Ltd
COLPAL,Colgate Palmolive India Ltd
BERGEPAINT,Berger Paints India Ltd
MUTHOOTFIN,Muthoot Finance Ltd
CHOLAFIN,Cholamandalam Investment & Finance Ltd
ICICIPRULI,ICICI Prudential Life Insurance Ltd
ICICIGI,ICICI Lombard General Insurance Ltd
RECLTD,REC Ltd
PFC,Power Finance Corporation Ltd
IRFC,Indian Railway Finance Corporation Ltd
ADANIGREEN,Adani Green Energy Ltd
ADANIPOWER,Adani Power Ltd
TATAELXSI,Tata Elxsi Ltd
ABB,ABB India Ltd
CUMMINSIND,Cummins India Ltd
ESCORTS,Escorts Kubota Ltd
BALKRISIND,Balkrishna Industries Ltd
MRF,MRF Ltd
APOLLOTYRE,Apollo Tyres Ltd
EXIDEIND,Exide Industries Ltd
MOTHERSON,Samvardhana Motherson International Ltd
ZYDUSLIFE,Zydus Lifesciences Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd
IPCALAB,Ipca Laboratories Ltd
ABCAPITAL,Aditya Birla Capital Ltd
ABFRL,Aditya Birla Fashion & Retail Ltd
BANDHANBNK,Bandhan Bank Ltd
AUBANK,AU Small Finance Bank Ltd
YESBANK,Yes Bank Ltd
IDEA,Vodafone Idea Ltd
INDHOTEL,Indian Hotels Company Ltd
GODREJPROP,Godrej Properties Ltd
OBEROIRLTY,Oberoi Realty Ltd
PRESTIGE,Prestige Estates Projects Ltd
LODHA,Macrotech Developers Ltd
CONCOR,Container Corporation of India Ltd
GUJGASLTD,Gujarat Gas Ltd
PETRONET,Petronet LNG Ltd
IGL,Indraprastha Gas Ltd
MGL,Mahanagar Gas Ltd
CASTROLIND,Castrol India Ltd
SRF,SRF Ltd
DEEPAKNTR,Deepak Nitrite Ltd
AARTIIND,Aarti Industries Ltd
TATACHEM,Tata Chemicals Ltd
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd
COROMANDEL,Coromandel International Ltd
BATAINDIA,Bata India Ltd
RELAXO,Relaxo Footwears Ltd
VBL,Varun Beverages Ltd
UBL,United Breweries Ltd
MCDOWELL-N,United Spirits Ltd
RADICO,Radico Khaitan Ltd
EMAMILTD,Emami Ltd
JYOTHYLAB,Jyothy Labs Ltd
HONAUT,Honeywell Automation India Ltd
THERMAX,Thermax Ltd
AIAENG,AIA Engineering Ltd
SUPREMEIND,Supreme Industries Ltd
ASTRAL,Astral Ltd
POLYCAB,Polycab India Ltd
KEI,KEI Industries Ltd
CROMPTON,Crompton Greaves Consumer Electricals Ltd
WHIRLPOOL,Whirlpool of India Ltd
DIXON,Dixon Technologies India Ltd
AMBER,Amber Enterprises India Ltd
LTTS,L&T Technology Services Ltd
CYIENT,Cyient Ltd
KPITTECH,KPIT Technologies Ltd
SONACOMS,Sona BLW Precision Forgings Ltd
ENDURANCE,Endurance Technologies Ltd
SCHAEFFLER,Schaeffler India Ltd
TIMKEN,Timken India Ltd
GRINDWELL,Grindwell Norton Ltd
CARBORUNIV,Carborundum Universal Ltd
JKCEMENT,JK Cement Ltd
RAMCOCEM,Ramco Cements Ltd
DALBHARAT,Dalmia Bharat Ltd
BIRLACORPN,Birla Corporation Ltd
NATIONALUM,National Aluminium Company Ltd
HINDZINC,Hindustan Zinc Ltd
MOIL,MOIL Ltd
GMRINFRA,GMR Airports Infrastructure Ltd
IRB,IRB Infrastructure Developers Ltd
NBCC,NBCC India Ltd
RVNL,Rail Vikas Nigam Ltd
IRCON,Ircon International Ltd
NHPC,NHPC Ltd
SJVN,SJVN Ltd
TORNTPOWER,Torrent Power Ltd
CESC,CESC Ltd
JSWENERGY,JSW Energy Ltd
